Company / Outreach Account	Brands / Business Units	In Italy?	Locations	Master-fit Themes	Matching Job Titles	Job Links	Role Count	Curricular Evidence	Work Modes	Sources / Portals	Previously Contacted?	Contact Search Status	Contact Name	Contact Role	Contact Email / LinkedIn	Outreach Decision	Notes	Verification Status	Last Checked	First Contact Date	Recall
Arup		Yes	Milan, Lombardy, Italy	Consulting / Operations	1. Programme and Project Management Internship	1. https://it.linkedin.com/jobs/view/4467203312	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 40/100; Project/PMO support in the built environment; mainly documentation and tracking, with workshop exposure.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Omnia Technologies Life Sciences		Yes	San Colombano al Lambro, Lombardy, Italy	Consulting / Operations	1. Stage Project Management / Engineering Projects	1. https://it.linkedin.com/jobs/view/4467058223	1	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 40/100; Project-management support on engineering orders: coordination, data analysis and reporting rather than design.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Snowit		Yes	Milan, Lombardy, Italy	Service Design / CX; Consulting / Operations	1. Operations Intern	1. https://it.linkedin.com/jobs/view/4446579465	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 40/100; Mostly marketplace product operations, with a feedback-analysis and improvement slice.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Carglass® Italia		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Business Analyst Support - Intern	1. https://it.linkedin.com/jobs/view/4441601729	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 38/100; Supporto analitico FP&A a decisioni di business, ma senza analisi di mercato o business case.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Roveda 1955		Yes	Parabiago, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Stage in Process Quality	1. https://it.linkedin.com/jobs/view/4467717231	1	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 38/100; Quality process monitoring with root-cause and corrective-action work: process improvement on a technical quality base.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Enpal		Yes	Milan, Lombardy, Italy	Consulting / Operations	1. Operations Manager Intern	1. https://it.linkedin.com/jobs/view/4466072657	1	curricular	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 35/100; Analisi di processo e coordinamento operativo di progetto in ambito fotovoltaico.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Pierre Fabre Laboratories		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence; Transformation / Change	1. CRM Local Admin and Amazon Support Trainee	1. https://it.linkedin.com/jobs/view/4449749762	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 35/100; Mostly CRM/ERP administration and data entry, with some sales-process and Amazon channel analysis.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Sella		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Junior Economist - Internship	1. https://it.linkedin.com/jobs/view/4462789033	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 35/100; Scenario analysis and alternative-scenario reasoning, but on a macro-financial base rather than business design.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Sisal		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Business Analyst Trainee	1. https://it.linkedin.com/jobs/view/4467183488	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 35/100; Commercial channel analytics and reporting; analytical support only, no strategy or experience output.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Venchi		Yes	Milan, Lombardy, Italy	Service Design / CX; CRM / Customer Intelligence	1. Customer Care Intern	1. https://it.linkedin.com/jobs/view/4457460853	1	curricular	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 35/100; Customer-care core, surrounded by CRM ticketing optimisation, AI-in-care projects and customer-insight reporting.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
CHANEL		Yes	Vittuone, Lombardy, Italy	Sustainability	1. Stage Packaging	1. https://it.linkedin.com/jobs/view/4446903903	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 32/100; Analisi e riprogettazione del packaging per ridurre rifiuti: sostenibilità applicata a livello di componente.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
DNV		Yes	Milan, Lombardy, Italy	Service Design / CX; CRM / Customer Intelligence	1. Customer Support Onboarding Internship	1. https://it.linkedin.com/jobs/view/4463484165	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 32/100; Onboarding e adozione clienti su piattaforme digitali con monitoraggio KPI e miglioramento continuo.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Frette		Yes	Milan, Lombardy, Italy	Consulting / Operations	1. Retail Operations Intern	1. https://it.linkedin.com/jobs/view/4463478873	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 30/100; Operations retail: monitoraggio processi, procedure operative e reportistica KPI.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Scalian		Yes	Milan, Lombardy, Italy	Consulting / Operations	1. PM/PMO Internship	1. https://it.linkedin.com/jobs/view/4444439886	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 30/100; Project-office planning, monitoring and reporting support; more than minutes but still project administration.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Tramundi		Yes	Milan, Lombardy, Italy	Service Design / CX	1. Customer care specialist (stage)	1. https://it.linkedin.com/jobs/view/4462204425	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 30/100; Predominantly customer care, with a genuine feedback-analysis and service-procedure slice.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
